name
MAFA
MAGUMERI
MAIDUGURI METRO
MARTE
MOBBAR
MONGUNO
NGALA
NGANZAI
SHANI
ABI
AKAMKPA
AKPABUYO
BAKASSI
BEKWARA
BIASE
BOKI
CALABAR MUNICIPAL
CALABAR SOUTH
ETUNG
IKOM
OBANLIKU
OBUBRA
OBUDU
ODUKPANI
OGOJA
YAKURR
YALA
ANIOCHA NORTH
ANIOCHA SOUTH
BOMADI
BURUTU
ETHIOPE EAST
ETHIOPE WEST
IKA NORTH EAST
IKA SOUTH
ISOKO NORTH
ISOKO SOUTH
NDOKWA EAST
NDOKWA WEST
OKPE
OSHIMILI NORTH
OSHIMILI SOUTH
PATANI
SAPELE
UDU
UGHELLI NORTH
UGHELLI SOUTH
UKWUANI
UVWIE
WARRI SOUTH
WARRI NORTH
WARRI SOUTH-WEST
ABAKALIKI
AFIKPO NORTH
AFIKPO SOUTH
EBONYI
EZZA NORTH
EZZA SOUTH
IKWO
ISHIELU
IVO
IZZI
OHAOZARA
OHAUKWU
ONICHA
AKOKO EDO
EGOR
ESAN CENTRAL
ESAN NORTH
ESAN SOUTH
ESAN WEST
ETSAKO CENTRAL
ETSAKO EAST
ETSAKO WEST
IGUEBEN
IKPOBA OKHA
OREDO
ORHIONWON
OVIA NORTH
OVIA SOUTH
OWAN EAST
OWAN WEST
UHUNMWONDE
ADO EKITI
AIYEKIRE
EFON
EKITI EAST
EKITI SOUTH
EKITI WEST
EMURE
IDO-OSI
IJERO
IKERE
IKOLE
ILEJEMEJI
IREPODUN/IFELODUN
ISE/ORUN
MOBA
OYE
AGWU
ANINRI
ENUGU EAST
ENUGU NORTH
ENUGU SOUTH
EZEAGU
IGBO ETITI
IGBO EZE NORTH
IGBO EZE SOUTH
ISI UZO
NKANU EAST
NKANU WEST
NSUKKA
OJI RIVER
UDENU
UDI
UZO UWANI
ABAJI
ABUJA MUNICIPAL
BWARI
GWAGWALADA
KUJE
KWALI
AKKO
BALANGA
BILLIRI
DUKKU
FUNAKAYE
GOMBE
KALTUNGO
KWAMI
NAFADA
SHOMGOM
YAMALTU/DEBA
ABOH MBAISE
AHIAZU MBAISE
EHIME MBANO
EZINIHITTE
IDEATO NORTH
IDEATO SOUTH
IHITTE UBOMA
IKEDURU
ISIALA MBANO
MBAITOLI
NGOR/OKPALA
ISU
NJABA
NKWANGELE
NKWERRE
OBOWO
OGUTA
OHAJI/EGBEMA
OKIGWE
ONUIMO
ORLU
ORSU
ORU EAST
ORU WEST
OWERRI MUNICIPAL
OWERRI NORTH
OWERRI WEST
AUYO
BABURA
BIRNIN KUDU
BIRNIWA
GAGARAWA
BUJI
DUTSE
GARKI
GUMEL
GURI
GWARAM
GWIWA
HADEJIA
JAHUN
KAFIN HAUSA
KAUGAMA
KAZAURE
KIRI-KASAMMA
KIYAWA
MAIGATARI
MALAM MADORI
MIGA
RINGIM
RONI
SULE TAKARKAR
TAURA
YANKWASHI
BIRNIN GWARI
CHIKUN
GIWA
KAJURU
IGABI
IKARA
JABA
JEMA`A
KACHIA
KADUNA NORTH
KADUNA SOUTH
KAGARKO
KAURA
KAURU
KUBAU
KUDAN
LERE
MAKARFI
SABON GARI
SANGA
SOBA
ZANGON KATAF
ZARIA
AJINGI
ALBASU
BAGWAI
BEBEJI
BICHI
BUNKURE
DALA
DANBATTA
DAWAKIN KUDU
DAWAKIN TOFA
DOGUWA
FAGGE
GABASAWA
GARKO
GARUN MALLAM
GAYA
GEZAWA
GWALE
GWARZO
KABO
KANO MUNICIPAL
KARAYE
KIBIYA
KIRU
KUMBOTSO
KUNCHI
KURA
MADOBI
MAKODA
MINJIBIR
NASARAWA
RANO
RIMIN GADO
ROGO
SHANONO
SUMAILA
TAKAI
TARAUNI
TOFA
TSANYAWA
TUDUN WADA
UNGOGO
WARAWA
WUDIL
BAKORI
BATAGARAWA
BATSARI
BAURE
BINDAWA
CHARANCHI
DAN-MUSA
DANDUME
DANJA
DAURA
DUTSI
DUTSINMA
FASKARI
FUNTUA
INGAWA
JIBIA
KAFUR
KAITA
KANKARA
KANKIA
KATSINA
KURFI
KUSADA
MAI`ADUA
MALUMFASHI
MANI
MASHI
MATAZU
MUSAWA
RIMI
SABUWA
SAFANA
SANDAMU
ZANGO
ALIERU
AREWA
ARGUNGU
AUGIE
BAGUDO
BIRNIN -KEBBI
BUNZA
DANDI KAMBA
DANKO /WASAGU
FAKAI
GWANDU
JEGA
KALGO
KOKO/BESSE
MAIYAMA
NGASKI
SAKABA
SHANGA
SURU
YAURI
ZURU
ADAVI
AJAOKUTA
ANKPA
BASSA
DEKINA
IBAJI
IDAH
IGALAMELA-ODOLU
IJUMU
KABBA/BUNU
LOKOJA
KOGI
MOPA-MURO
OFU
OGORI/MAGONGO
OKEHI
OKENE
OLAMABORO
OMALA
YAGBA EAST
YAGBA WEST
ASA
BARUTEN
EDU
EKITI
IFELODUN
ILORIN EAST
ILORIN SOUTH
ILORIN WEST
IREPODUN
KAI AMA
MORO
OFFA
OKE-ERO
ISIN
OYUN
PATEGI
AKWANGA
AWE
DOMA
KARU
KEANA
KEFFI
KOKONA
LAFIA
NASARAWA
NASARAWA EGGON
OBI
TOTO
WAMBA
AGAIE
AGWARA
BIDA
BORGU
BOSSO
EDATI
GBAKO
GURARA
KATCHA
KONTAGORA
LAPAI
LAVUN
MAGAMA
MARIGA
MASHEGU
CHANCHAGA
MOKWA
MUYA
PAIKORO
RAFI
RIJAU
SHIRORO
SULEJA
TAFA
WUSHISHI
ABEOKUTA NORTH
ABEOKUTA SOUTH
ADO-ODO/OTA
EGBADO NORTH
EGBADO SOUTH
EWEKORO
REMO NORTH
IFO
IJEBU EAST
IJEBU NORTH
IJEBU ODE
IKENNE
IJEBU NORTH-EAST
IMEKO-AFON
IPOKIA
OBAFEMI/OWODE
ODEDAH
ODOGBOLU
OGUN WATER SIDE
SHAGAMU
AKOKO NORTH EAST
AKOKO NORTH WEST
AKOKO SOUTH WEST
AKOKO SOUTH EAST
AKURE NORTH
AKURE SOUTH
IDANRE
IFEDORE
OKITIPUPA
ILAJE
ESE-EDO
ILE-OLUJI/OKEIGBO
IRELE
ODIGBO
ONDO EAST
ONDO WEST
OSE
OWO
ATAKUMOSA EAST
ATAKUMOSA WEST
AIYEDADE
AIYEDIRE
BOLAWADURO
BORIPE
EDE NORTH
EDE SOUTH
EGBEDORE
EJIGBO
IFE CENTRAL
IFE EAST
IFE NORTH
IFE SOUTH
IFEDAYO
IFELODUN
ILA
ILESHA EAST
ILESHA WEST
IREPODUN
IREWOLE
ISOKAN
IWO
OBOKUM
ODO OTIN
OLA-OLUWA
OLORUNDA
ORIADE
OROLU
OSOGBO
AFIJIO
AKINYELE
ATIBA
ATISBO
EGBEDA
IBADAN NORTH-EAST
IBADAN NORTH-WEST
IBADAN NORTH
IBADAN SOUTH-EAST
IBADAN SOUTH-WEST
IBARAPA SOUTH
IBARAPA NORTH
IDDO
SAKI WEST
IFELOJU
IREPO
ISEYIN
ITESIWAJU
IWAJOWA
IYAMAPO/OLORUNSOGO
KAJOLA
LAGELU
OGBOMOSO NORTH
OGBOMOSO SOUTH
OGO-OLUWA
OLUYOLE
ONA ARA
ORELOPE
ORI IRE
OYO EAST
OYO WEST
SAKI EAST
SURULERE
BARKIN LADI
BASSA
BOKKOS
JOS EAST
JOS NORTH
JOS SOUTH
KANAM
KANKE
LANGTANG NORTH
LANGTANG SOUTH
MANGU
MIKANG
PANKSHIN
QUA`AN-PAN
RIYOM
SHENDAM
WASE
AHOADA EAST
AHOADA WEST
AKUKU-TORU
ANDONI
ASARI-TORU
BONNY
DEGEMA
ELEME
EMUOHA
ETCHE
GOKANA
IKWERRE
KHANA
OBIA/AKPOR
ABUA/ODUAL
OGBA/EGBEMA/
OGU/BOLO
OKRIKA
OMUMMA
OPOBO/NKORO
OYIGBO
PORT HARCOURT
TAI
BINJI
BODINGA
DANGE SHUNI
GADA
GORONYO
GUDU
GWADABAWA
ILLELA
ISA
KEBBE
KWARE
RABAH
SABON BIRNI
SHAGARI
SILAME
SOKOTO NORTH
SOKOTO SOUTH
TAMBUWAL
TANGAZA
TURETA
WAMAKKO
WURNO
YABO
ARDO KOLA
BALI
DONGA
GASHAKA
GASSOL
IBI
JALINGO
KARIM LAMIDU
KURMI
LAU
SARDAUNA
TAKUM
USSA
WUKARI
YORRO
ZING
BADE
BURSARI
DAMATURU
FIKA
FUNE
GEIDAM
GUJBA
GULAMI
JAKUSKO
KARASUWA
MACHINA
NANGERE
NGURU
POTISKUM
TARMUA
YUNUSARI
YUSUFARI
ANKA
BAKURA
BUKKUYUM
BUNGUDU
GUMMI
GUSAU
KAURA NAMODA
BIRNIN MAGAJI
MARADUN
MARU
SHINKAFI
TALATA MAFARA
TSAFE
ZURMI
